1,Needlefish,Maine,Winter,8
2,Needlefish,Florida,Winter,2
3,Needlefish,Brazil,Winter,4
4,Lionfish,South Korea,All Year,10
5,Lionfish,Japan,All Year,9
6,Lionfish,East Australia,All Year,11
7,Lionfish,Sri Lanka,All Year,7
8,Tiger Shark,Sri Lanka,Winter,7
9,Tiger Shark,South Africa,Winter,12
10,Tiger Shark,Brazil,Winter,4
11,Tiger Shark,Mexico,Winter,13
12,Pirahna,Argentina,All Year,14
13,Pirahna,Columbia,All Year,15
14,Great White Shark,Hawaii,Winter,16
15,Great White Shark,Mexico,Winter,13
16,Great White Shark,Georgia,Winter,17
17,Blue-Ringed Octopus,Northern Australia,All Year,3
18,Blue-Ringed Octopus,East Australia,All Year,11
19,Barracuda,Brazil,All Year,4
20,Barracuda,Mexico,All Year,13
21,Barracuda,Red Sea,All Year,18
22,Lampreys,Illinois,Summer,19
23,Lampreys,Indiana,Summer,20
24,Lampreys,Minnesota,Summer,21
25,Lampreys,Wisconsin,Summer,22
26,Stingrays,Brazil,All Year,4
27,Stingrays,Mexico,All Year,13
28,Stonefish,Northern Australia,All Year,3
29,Stonefish,Sri Lanka,All Year,7
30,Stonefish,Red Sea,All Year,18
31,Sea Urchin,Washington,All Year,23
32,Sea Urchin,South Korea,All Year,10
33,Trigger fish,Indonesia,All Year,24
34,Box Jellyfish,Indonesia,All Year,24
35,Box Jellyfish,Northern Australia,All Year,3
36,Striped Eel Catfish,Sri Lanka,All Year,7
37,Striped Eel Catfish,Indonesia,All Year,24
38,Striped Eel Catfish,Northern Australia,All Year,3
39,Marbled Cone Snail,Hawaii,All Year,16
40,Marbled Cone Snail,Sri Lanka,All Year,7
41,Marbled Cone Snail,South Africa,All Year,12
42,Flower Urchin,Japan,All Year,9
43,Flower Urchin,Red Sea,All Year,18
